item_id,item_name,quantity_bought,avg_buy_price,quantity_sold,avg_sell_price,total_volume,profit_per_item,profit_margin_pct,estimated_total_profit
67368,Sharpening Skull,244.0,426.0,244.0,658.0,488.0,232.0,54.460093896713616,56608.0
50082,Powerful Potion of Slaying Scarlet's Armies,217.0,220.0,267.0,342.0,484.0,122.0,55.45454545454545,32574.0
1858,Devona's Legplates,230.0,4130.8,243.0,7457.529411764706,473.0,3326.729411764706,80.5347490017601,808395.2470588236
24567,Superior Sigil of Frailty,244.0,1001.0,225.0,1576.7777777777778,469.0,575.7777777777778,57.52025752025752,129550.00000000001
810,Devona's Greaves,234.0,4377.888888888889,234.0,8645.052631578947,468.0,4267.163742690058,97.47080958404742,998516.3157894736
1026,Devona's Chestguard,225.0,4269.142857142857,227.0,7395.454545454545,452.0,3126.311688311688,73.23043039145301,709672.7532467532
44976,Impaler,236.0,6572.363636363636,215.0,10277.095238095239,451.0,3704.7316017316025,56.36832967114035,796517.2943722946
24475,Sapphire Crystal,0.0,,440.0,155.5,440.0,,,
47096,Crystalline Blade,229.0,2607.4,200.0,4395.45,429.0,1788.0499999999997,68.57597606811382,357609.99999999994
24344,Bone,0.0,,428.0,973.5,428.0,,,
97270,Saltspray Axe,239.0,2718.3333333333335,183.0,4829.6875,422.0,2111.3541666666665,77.67090741876149,386377.8125
2128,Devona's Pauldrons,207.0,4398.9,209.0,7372.0,416.0,2973.1000000000004,67.58735138330039,621377.9
44941,Watchwork Sprocket,0.0,,399.0,74.5,399.0,,,
24354,Fang,0.0,,390.0,836.0,390.0,,,
24349,Sharp Claw,0.0,,385.0,554.5,385.0,,,
27020,Adam,204.0,3473.2727272727275,181.0,5247.35,385.0,1774.0772727272729,51.077972046275455,321107.9863636364
24551,Superior Sigil of Water,191.0,699.6666666666666,187.0,960.1428571428571,378.0,260.4761904761905,37.22861226434357,48709.04761904762
24280,Venom Sac,0.0,,377.0,493.0,377.0,,,
27485,Deathwish,210.0,2568.6666666666665,163.0,4753.625,373.0,2184.9583333333335,85.06196470282897,356148.2083333334
96284,Saltspray Sword,190.0,3248.0,181.0,5173.2,371.0,1925.1999999999998,59.27339901477831,348461.19999999995
95710,Saltspray Dagger,185.0,2904.6666666666665,185.0,4071.5454545454545,370.0,1166.878787878788,40.172554092682624,215872.57575757577
208,Nika's Boots,185.0,11503.222222222223,185.0,16745.833333333332,370.0,5242.6111111111095,45.57515285572157,969883.0555555553
24355,Sharp Fang,0.0,,369.0,566.0,369.0,,,
24298,Totem,0.0,,357.0,481.5,357.0,,,
86269,Powdered Rose Quartz,0.0,,343.0,99.0,343.0,,,
88118,Superior Rune of the Zephyrite,166.0,758.0,171.0,1038.25,337.0,280.25,36.97229551451187,47922.75
576,Zhed's Boots,167.0,9730.818181818182,167.0,16529.88888888889,334.0,6799.0707070707085,69.87152138732405,1135444.8080808083
646,Nika's Pauldrons,163.0,10614.25,164.0,16887.9375,327.0,6273.6875,59.106272228372234,1028884.75
80,Nika's Mask,163.0,9671.142857142857,163.0,13928.6875,326.0,4257.544642857143,44.023180153032584,693979.7767857143
1333,Devona's Gauntlets,161.0,3577.0,161.0,7434.64705882353,322.0,3857.6470588235297,107.84587807725832,621081.1764705883
84505,Superior Sigil of Severance,158.0,757.0,160.0,1152.2,318.0,395.20000000000005,52.20607661822986,63232.00000000001
96542,Spindrift Dagger,203.0,2440.0,113.0,4442.2,316.0,2002.1999999999998,82.05737704918033,226248.59999999998
24703,Superior Rune of Infiltration,155.0,5341.333333333333,155.0,8872.857142857143,310.0,3531.52380952381,66.11689608444478,547386.1904761905
26395,Anura,186.0,2371.1428571428573,123.0,3665.4,309.0,1294.2571428571428,54.58368478129895,159193.62857142856
125,Nika's Coat,152.0,10742.333333333334,152.0,14175.64705882353,304.0,3433.313725490196,31.960595700718613,521863.68627450976
24345,Heavy Bone,0.0,,297.0,964.5,297.0,,,
24324,Destroyer Core,0.0,,292.0,1330.0,292.0,,,
1188,Nika's Leggings,141.0,13137.142857142857,141.0,16088.75,282.0,2951.607142857143,22.467648977816445,416176.60714285716
73248,Stabilizing Matrix,0.0,,280.0,3732.6666666666665,280.0,,,
96668,Leopard Fang,132.0,3431.6666666666665,132.0,5766.666666666667,264.0,2335.0000000000005,68.0427391937834,308220.00000000006
19721,Glob of Ectoplasm,255.0,2279.0,0.0,,255.0,,,
83757,Congealed Putrescence,0.0,,250.0,16.0,250.0,,,
99842,Mist-Infused Maintenance Oil,250.0,672.0,0.0,,250.0,,,
24363,Engraved Totem,0.0,,250.0,554.0,250.0,,,
24296,Tiny Totem,0.0,,250.0,5.0,250.0,,,
24287,Smooth Scale,0.0,,250.0,542.0,250.0,,,
24519,Beryl Crystal,0.0,,250.0,152.0,250.0,,,
74266,Mussel,0.0,,250.0,12.0,250.0,,,
24352,Tiny Fang,0.0,,250.0,5.0,250.0,,,
24291,Vial of Thin Blood,0.0,,250.0,48.0,250.0,,,
24290,Vial of Weak Blood,0.0,,250.0,7.0,250.0,,,
19732,Hardened Leather Section,0.0,,250.0,215.0,250.0,,,
24272,Pile of Glittering Dust,0.0,,250.0,91.0,250.0,,,
24279,Small Venom Sac,0.0,,250.0,29.0,250.0,,,
24334,Pile of Vile Essence,0.0,,250.0,59.0,250.0,,,
74202,Barbed Thorn,0.0,,250.0,38.0,250.0,,,
19725,Ancient Wood Log,0.0,,250.0,205.0,250.0,,,
24299,Intricate Totem,0.0,,250.0,77.0,250.0,,,
24348,Claw,0.0,,250.0,505.0,250.0,,,
89271,Pile of Lucent Crystal,246.0,1343.0,0.0,,246.0,,,
12535,Rutabaga,0.0,,242.0,108.0,242.0,,,
24836,Superior Rune of the Scholar,120.0,40020.0,120.0,48308.333333333336,240.0,8288.333333333336,20.7104780942862,994600.0000000002
